current_power,local_time,month_energy,month_runtime,today_energy,today_runtime
7647,2024-07-21T14:34:31,24127,29674,317,874
7647,2024-07-21T14:34:32,24127,29674,317,874
258968,2024-07-21T14:34:33,24127,29674,317,874
258968,2024-07-21T14:34:34,24127,29674,317,874
258968,2024-07-21T14:34:36,24127,29674,317,874
257423,2024-07-21T14:34:37,24127,29674,317,874
257423,2024-07-21T14:34:38,24127,29674,317,874
257423,2024-07-21T14:34:39,24128,29674,318,874
256474,2024-07-21T14:34:40,24128,29674,318,874
256474,2024-07-21T14:34:41,24128,29674,318,874
256474,2024-07-21T14:34:42,24128,29674,318,874
255624,2024-07-21T14:34:43,24128,29674,318,874
255624,2024-07-21T14:34:44,24128,29674,318,874
255624,2024-07-21T14:34:45,24128,29674,318,874
254773,2024-07-21T14:34:46,24128,29674,318,874
254773,2024-07-21T14:34:47,24128,29674,318,874
254064,2024-07-21T14:34:48,24128,29674,318,874
254064,2024-07-21T14:34:50,24128,29674,318,874
254064,2024-07-21T14:34:51,24128,29674,318,874
243207,2024-07-21T14:34:52,24128,29674,318,874
243207,2024-07-21T14:34:53,24129,29674,319,874
243207,2024-07-21T14:34:54,24129,29674,319,874
200908,2024-07-21T14:34:55,24129,29674,319,874
200908,2024-07-21T14:34:56,24129,29674,319,874
200908,2024-07-21T14:34:57,24129,29674,319,874
136907,2024-07-21T14:34:58,24129,29674,319,874
136907,2024-07-21T14:34:59,24129,29674,319,874
99678,2024-07-21T14:35:00,24129,29675,319,875
99678,2024-07-21T14:35:01,24129,29675,319,875
99678,2024-07-21T14:35:03,24129,29675,319,875
99669,2024-07-21T14:35:04,24129,29675,319,875
99669,2024-07-21T14:35:05,24129,29675,319,875
99669,2024-07-21T14:35:06,24129,29675,319,875
111990,2024-07-21T14:35:07,24129,29675,319,875
111990,2024-07-21T14:35:08,24129,29675,319,875
111990,2024-07-21T14:35:09,24129,29675,319,875
106225,2024-07-21T14:35:10,24129,29675,319,875
106225,2024-07-21T14:35:11,24129,29675,319,875
106225,2024-07-21T14:35:12,24129,29675,319,875
91124,2024-07-21T14:35:13,24129,29675,319,875
91124,2024-07-21T14:35:14,24129,29675,319,875
76319,2024-07-21T14:35:15,24129,29675,319,875
76319,2024-07-21T14:35:17,24129,29675,319,875
76319,2024-07-21T14:35:18,24129,29675,319,875
61375,2024-07-21T14:35:19,24129,29675,319,875
61375,2024-07-21T14:35:20,24129,29675,319,875
61375,2024-07-21T14:35:21,24129,29675,319,875
52240,2024-07-21T14:35:22,24129,29675,319,875
52240,2024-07-21T14:35:23,24129,29675,319,875
52240,2024-07-21T14:35:24,24129,29675,319,875
55472,2024-07-21T14:35:25,24129,29675,319,875
55472,2024-07-21T14:35:26,24129,29675,319,875
55472,2024-07-21T14:35:27,24129,29675,319,875
54504,2024-07-21T14:35:28,24129,29675,319,875
54504,2024-07-21T14:35:29,24129,29675,319,875
56946,2024-07-21T14:35:31,24129,29675,319,875
56946,2024-07-21T14:35:32,24129,29675,319,875
56946,2024-07-21T14:35:33,24129,29675,319,875
53489,2024-07-21T14:35:34,24130,29675,320,875
53489,2024-07-21T14:35:35,24130,29675,320,875
53489,2024-07-21T14:35:36,24130,29675,320,875
33399,2024-07-21T14:35:37,24130,29675,320,875
33399,2024-07-21T14:35:38,24130,29675,320,875
33399,2024-07-21T14:35:39,24130,29675,320,875
49634,2024-07-21T14:35:40,24130,29675,320,875
49634,2024-07-21T14:35:41,24130,29675,320,875
49634,2024-07-21T14:35:42,24130,29675,320,875
62064,2024-07-21T14:35:43,24130,29675,320,875
62064,2024-07-21T14:35:45,24130,29675,320,875
48694,2024-07-21T14:35:46,24130,29675,320,875
48694,2024-07-21T14:35:47,24130,29675,320,875
48694,2024-07-21T14:35:48,24130,29675,320,875
46176,2024-07-21T14:35:49,24130,29675,320,875
46176,2024-07-21T14:35:50,24130,29675,320,875
46176,2024-07-21T14:35:51,24130,29675,320,875
44651,2024-07-21T14:35:52,24130,29675,320,875
44651,2024-07-21T14:35:53,24130,29675,320,875
44651,2024-07-21T14:35:54,24130,29675,320,875
29163,2024-07-21T14:35:55,24130,29675,320,875
29163,2024-07-21T14:35:56,24130,29675,320,875
52952,2024-07-21T14:35:57,24130,29675,320,875
52952,2024-07-21T14:35:59,24130,29675,320,875
52952,2024-07-21T14:36:00,24130,29676,320,876
52772,2024-07-21T14:36:01,24130,29676,320,876
52772,2024-07-21T14:36:02,24130,29676,320,876
52772,2024-07-21T14:36:03,24130,29676,320,876
47311,2024-07-21T14:36:04,24130,29676,320,876
47311,2024-07-21T14:36:05,24130,29676,320,876
47311,2024-07-21T14:36:06,24130,29676,320,876
40032,2024-07-21T14:36:07,24130,29676,320,876
40032,2024-07-21T14:36:08,24130,29676,320,876
40032,2024-07-21T14:36:09,24130,29676,320,876
48244,2024-07-21T14:36:10,24130,29676,320,876
48244,2024-07-21T14:36:12,24130,29676,320,876
59458,2024-07-21T14:36:13,24130,29676,320,876
59458,2024-07-21T14:36:14,24130,29676,320,876
59458,2024-07-21T14:36:15,24130,29676,320,876
72114,2024-07-21T14:36:16,24130,29676,320,876
72114,2024-07-21T14:36:17,24130,29676,320,876
72114,2024-07-21T14:36:18,24130,29676,320,876
48401,2024-07-21T14:36:19,24130,29676,320,876
48401,2024-07-21T14:36:20,24130,29676,320,876
48401,2024-07-21T14:36:21,24130,29676,320,876
56005,2024-07-21T14:36:22,24130,29676,320,876
56005,2024-07-21T14:36:23,24130,29676,320,876
53731,2024-07-21T14:36:25,24130,29676,320,876
53731,2024-07-21T14:36:26,24130,29676,320,876
53731,2024-07-21T14:36:27,24130,29676,320,876
54755,2024-07-21T14:36:28,24130,29676,320,876
54755,2024-07-21T14:36:29,24130,29676,320,876
54755,2024-07-21T14:36:30,24130,29676,320,876
51258,2024-07-21T14:36:31,24130,29676,320,876
51258,2024-07-21T14:36:32,24130,29676,320,876
51258,2024-07-21T14:36:33,24130,29676,320,876
59090,2024-07-21T14:36:34,24130,29676,320,876
59090,2024-07-21T14:36:35,24130,29676,320,876
